Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth.csrf,5,0,20,57.5269998,15.541000000000249,125.7490830000001,80.0,0.2185520824492533,0.0,20,110,110,130,130,130,130,130,130,130,130
POST,auth.login,5,0,230.0,340.75526659999997,169.95454200000003,806.1952080000001,41.0,0.2185520824492533,0.0,230,280,280,810,810,810,810,810,810,810,810
GET,auth.session,5,0,30,30.776133199999986,13.9165,53.890750000000324,117.0,0.2185520824492533,0.0,30,37,37,54,54,54,54,54,54,54,54
GET,chat.unread_counts,4,0,47,152.82535450000003,46.06595899999988,467.30954200000065,13.0,0.17484166595940265,0.0,51,51,470,470,470,470,470,470,470,470,470
POST,community.posts.comment,3,0,130.0,144.5701666666661,121.524041999999,184.40000000000012,249.0,0.13113124946955199,0.0,130,130,180,180,180,180,180,180,180,180,180
GET,community.posts.comments.list,3,0,52,52.536318999999956,47.445624999999936,58.15541599999996,177.33333333333334,0.13113124946955199,0.0,52,52,58,58,58,58,58,58,58,58,58
POST,community.posts.like,1,0,201.90308299999947,201.90308299999947,201.90308299999947,201.90308299999947,29.0,0.04371041648985066,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,community.posts.list,18,0,60,117.91880794444455,47.97983299999942,525.0521670000019,1430.7777777777778,0.786787496817312,0.0,110,120,140,160,170,530,530,530,530,530,530
GET,friends.requests.incoming,4,0,50,199.33360399999978,45.54929100000038,396.4951669999994,15.0,0.17484166595940265,0.0,310,310,400,400,400,400,400,400,400,400,400
GET,users.me,12,0,55,100.89398608333352,45.23270800000034,358.1636670000012,181.0,0.5245249978782079,0.0,56,62,98,98,280,360,360,360,360,360,360
,Aggregated,60,0,58,128.00694580000004,13.9165,806.1952080000001,508.93333333333334,2.62262498939104,0.0,60,120,160,180,310,470,530,810,810,810,810
